No.,Pos.,Nation,Player,Info
1,GK,ITA,Luca Gemello,
2,MF,FRA,Brian Bayeye,
3,DF,NED,Perr Schuurs,
4,DF,ITA,Alessandro Buongiorno,
6,DF,CZE,David Zima,
7,FW,FRA,Yann Karamoh,
8,MF,SRB,Ivan Ilić,
9,FW,PAR,Antonio Sanabria,
10,FW,SRB,Nemanja Radonjić,
11,FW,ITA,Pietro Pellegri,
13,DF,SUI,Ricardo Rodriguez,(Captain)
16,MF,CRO,Nikola Vlašić,
19,DF,ITA,Raoul Bellanova,
20,DF,AUT,Valentino Lazaro,
23,FW,SEN,Demba Seck,
26,DF,CIV,Koffi Djidji,
27,DF,KOS,Mërgim Vojvoda,
28,MF,ITA,Samuele Ricci,
32,GK,SRB,Vanja Milinković-Savić,
61,MF,FRA,Adrien Tameze,
66,MF,LTU,Gvidas Gineitis,
71,GK,ROU,Mihai Popa,
77,MF,POL,Karol Linetty,
94,DF,FRA,Ange Caumenan N'Guessan,
—,DF,ALB,Kevin Haveri,(at Ascoli until 30 June 2024)
—,MF,TUR,Emirhan İlkhan,(at İstanbul Başakşehir until 30 June 2024)
—,MF,HUN,Krisztofer Horváth,(at Kecskemét until 30 June 2024)
—,MF,CIV,Ben Lhassine Kone,(at Como until 30 June 2024)
—,MF,FRA,Daouda Weidmann,(at RKC Waalwijk until 30 June 2024)
—,FW,MDA,Lado Akhalaia,(at Swift Hesperange until 30 June 2024)
—,FW,ITA,Nicola Rauti,(at Sudtirol until 30 June 2024)
